# Llama-3.1-8B kg_only pass@5 (job 59853977): 29 real instances excluded.
# Real prompt token count (Meta-Llama-3.1-8B-Instruct tokenizer) exceeds the
# real input budget for this run: MAX_MODEL_LEN (65536) - MAX_NEW_TOKENS (48000)
# = 17536 tokens. Structural context-length mismatch, not a timeout or bug.
# See results/RUN_LOG.md, "A completed job's line count can be a stale
# pre-run snapshot, not the real total", confirmed 2026-09-08.
# New real denominator for this file: 1210 - 29 = 1181.
#
# id	prompt_tokens
sphinx-doc__sphinx-7670-16992	62706
scikit-learn__scikit-learn-12983-16788	59091
astropy__astropy-14295-15681	44443
sphinx-doc__sphinx-7590-16990	44332
scikit-learn__scikit-learn-26644-16933	44089
scikit-learn__scikit-learn-26634-16932	43945
scikit-learn__scikit-learn-11542-16754	33521
matplotlib__matplotlib-24604-16312	30125
sympy__sympy-12489-17121	27784
scikit-learn__scikit-learn-12860-16783	26796
scikit-learn__scikit-learn-12908-16784	25480
scikit-learn__scikit-learn-10471-16716	24854
scikit-learn__scikit-learn-25589-16910	23729
scikit-learn__scikit-learn-13174-16802	23538
scikit-learn__scikit-learn-13333-16810	23357
scikit-learn__scikit-learn-12682-16772	23194
scikit-learn__scikit-learn-11585-16757	23066
scikit-learn__scikit-learn-12421-16762	22319
scikit-learn__scikit-learn-10459-16715	21659
matplotlib__matplotlib-23267-16287	20790
matplotlib__matplotlib-23140-16282	20440
scikit-learn__scikit-learn-13143-16798	19964
scikit-learn__scikit-learn-11310-16749	19218
matplotlib__matplotlib-24538-16310	18732
scikit-learn__scikit-learn-13302-16807	18065
scikit-learn__scikit-learn-13046-16794	17856
sphinx-doc__sphinx-10360-16954	17841
scikit-learn__scikit-learn-23099-16894	17773
astropy__astropy-14598-15692	17640
